SPC,FAI,项目,描述,标准值,上公差,下公差,上上,上下,下上,下下
SPC AH-1-MAX,FAI 34-1-MAX,"Line Profile (B＞c),MAX",Tolerance,0,0.2,0.15,0.1218,0.0318,-0.042,0.01908
SPC AH-1-MIN,FAI 34-1-MIN,"Line Profile(B＞c), MIN",Tolerance,0,0.2,0.15,-0.042,0,0.07,0
SPC AH-2,FAI 34-2,Line Profile(B＞c),Tolerance,0,0.35,0,0,0,0,0
SPC AH-2-MAX,FAI 34-2-MAX,"Line Profile(B＞c),MAX",Tolerance,0,0.2,0.15,0.1078,0.0318,-0.042,0.01908
SPC AH-2-MIN,FAI 34-2-MIN,"Line Profile(B＞c), MIN",Tolerance,0,0.2,0.15,-0.042,0,0.07,0
SPC AI-1,FAI 35-1,Line Profile(C＞D),Tolerance,0,0.35,0,0,0,0,0
SPC AI-1-MAX,FAI 35-1-MAX,"Line Profile(C＞D),MAX",Tolerance,0,0.2,0.15,0.1218,0.0318,-0.042,0.01908
SPC AI-1-MIN,FAI 35-1-MIN,"Line Profile(C＞D), MIN",Tolerance,0,0.2,0.15,-0.042,0,0.07,0
SPC AI-2,FAI 35-2,Line Profile(C＞D),Tolerance,0,0.35,0,0,0,0,0
SPC AI-2-MAX,FAI 35-2-MAX,"Line Profile(C＞D),MAX",Tolerance,0,0.2,0.15,0.1358,0.0318,-0.042,0.01908
SPC AI-2-MIN,FAI 35-2-MIN,"Line Profile(C＞D), MIN",Tolerance,0,0.2,0.15,-0.042,0,0.07,0
SPC AQ,FAI 43,Perpendicularly,Tolerance,0,0.2,0,0.1218,0.027,0.0252,0.0162
SPC AV-1,FAI 49-1,Radius,Tolerance,1.5,0.15,0.15,0.084,0.021,0.0126,0.0126
SPC AV-2,FAI 49-2,Radius,Tolerance,1.5,0.15,0.15,0.084,0.021,0.0126,0.0126
SPC AW-1,FAI 50-1,Radius,Tolerance,1,0.15,0.15,0.084,0.021,0.0126,0.0126
SPC AW-2,FAI 50-2,Radius,Tolerance,1,0.15,0.15,0.084,0.021,0.0126,0.0126
SPC AW-3,FAI 50-3,Radius,Tolerance,1,0.15,0.15,0.084,0.021,0.0126,0.0126
SPC AW-4,FAI 50-4,Radius,Tolerance,1,0.15,0.15,0.084,0.021,0.0126,0.0126
SPC AX-1,FAI 51-1,Radius,Tolerance,1.5,0.15,0.15,0.084,0.021,0.0126,0.0126
SPC AX-2,FAI 51-2,Radius,Tolerance,1.5,0.15,0.15,0.084,0.021,0.0126,0.0126
